,Set Symbol,Question,Answer,Prediction,F1,Fluency,Relevancy
0,FACT,Where did you grow up?,"Sacramento, California"," In Sacramento, California. My mom worked for the state legislature, and my dad was a city councilman.",1.0,,
1,FACT,Who is your dad?,Charles Hannold," I don't know. I mean, I think he's probably just some random dude.",0.0,,
2,FACT,When is your birthday?,"August 17, 1985", I don't know. I was born in '87.,0.0,,
3,FACT,Who is your mom?,Dierdre Wolownick," I don't know. I mean, I think my mom is a nurse or something. Um, you know, like not a lot of details.",0.0,,
4,FACT,Who is your sister?,Stasia, My sister is the universe.,0.0,,
5,FACT,Which language did your mom talk to you in?,French," English. Italian. She was kind of a linguist, so she could speak several languages and she would just switch back and forth between them as the situation demanded. I think my dad spoke French, but I'm not sure.",1.0,,
6,FACT,At what age did you start climbing?,10 years," I started climbing when I was four or five. My parents took me to my first climbing gym when I was maybe six, and a year later, in 1992, we moved to Tucson so that my dad could take a job at the National Center for Atmospheric Research.",0.0,,
7,FACT,Where did your dad get a permanent job?,American River College ," He got a job in a quarry. He was like a laborer or something. They were sort of like grunt jobs, but he got to live in El Paso, which was pretty cool for him.",0.4,,
8,FACT,Whose climbing stories did you read growning up?,Mark Twight," Well, I mean, I read all kinds of books. But the ones that really stuck with me were the ones that combined adventure and a little bit of romance. The classic example is John Krakauer's ""Into the Wild.""",0.0,,
9,FACT,What makes El Cap so intimidating?,Scale of the wall," A lot of it has to do with the sheer scale of the wall. It's 3,200 feet of sheer granite, after all. But I think what scares people most is that they don't know what's on the other side of that wall. They don't know if there's a safe route or not. And then once they get up there, they're like ""Oh my God! There are so many moves! I'm gonna die!""",1.0,,
10,FACT,What is your usual breakfast?,Muesli and fruit," A banana and some protein powder. I'm trying to cut down on the sugar. I eat a lot of fruit, though, so it's hard to cut out the fruit.",0.8,,
11,FACT,Which project were you dreaming of for years?,Moonlight Buttress," The obvious one was to climb the Nose in a single day. That's what I'd always thought about as the ultimate challenge, but I'd never seriously considered doing it. In 2010, though, after soloing and speed climbing various routes on El Cap and Half Dome--all with my then-roommate Brad Barlage--I felt ready for the big jump. And so on June 2, 2010, Brad and I set out to climb the Nose in a single day.",0.0,,
12,FACT,What was the favorite hiking destination for you and your dad?,Mount Tallac," I think it was the High Sierra. We did a lot of hiking in Yosemite and things like that. I remember my dad taking me to see the movie The Rainbow Warrior, which I think was in like 1987 or '86, and it's this epic thing about this climber who gets trapped in a storm on a cliff. It's sort of like an action-adventure movie with some climbing scenes in it, but what I remember most is just sitting through the whole thing with my dad because he loved that kind of stuff.",0.0,,
13,FACT,Who convinced The North Face to sponsor you?,Conrad Anker,,0.0,,
14,FACT,What keeps you motivated?,Insatiable hunger and curiosity," I think it's the challenge of improvement. I mean, I love climbing more than ever, and I still have this burning desire to improve. It's like an addiction, you know. You can't stop once you start.",0.4,,
15,INF,Tell me about your book Alone on the Wall. It’s split into seven of your most memorable climbs. What are they?,"They’re all just significant events for me. Starting with some of the early free solos that I did and sort of building in complexity as I started big wall soloing using some ropes and hardware, but mostly climbing by myself."," Well, there's the first one, which is the Fitz Traverse in Patagonia. There's a second one that I did in Patagonia with a really strong alpinist named Sean Leary. He was an amazing partner and an amazing climber.",,0.5167037,0.34841442
16,INF,Can you explain the type of climbing you practice? I understand there are no ropes or climbing hardware to keep you safe.,"That’s called free soloing and that is part of what I do, but I mean I’ve been climbing for 20 years and I practice all sorts of climbing. That’s why I wrote the book to sort of show the different types of climbing that do.", I just have to trust my own body weight and the holds I find.,,0.58060616,0.2624638
17,INF,How do you manage that fear?,It’s not like I have to overcome fear in the sense of like suppressing it. If I feel a lot of fear then I can just put something off until I’m better trained. The important thing for me is to differentiate between an appropriate fear – like a fear that I’m in danger – and an irrational fear in my mind. If I’m feeling fear because I’m actually in danger or because there’s a chance that I may fall or chance that I might die then that’s a very helpful warning and I should heed that.”," I don't really know. I mean, I think that if you're truly afraid of something, then you will experience it as fear. If you don't experience it as fear then there's something wrong with your feelings about the danger or whatever.",,0.5598872,0.7278018
