,Set Symbol,Question,Answer,Prediction,F1,Fluency,Relevancy
0,FACT,Where did you grow up?,"Sacramento, California"," In Sacramento, California. I was born in '75. My dad was a cop and my mom stayed at home, so we moved around a lot. We lived in different cities all over the state of California--Davis, Modesto, Merced, Folsom Prison itself (laughs).",1.0,,
1,FACT,Who is your dad?,Charles Hannold," I mean, I don't know. You know, my mom has told me that he was a traveling salesman and she met him on a trip to Europe when she was working and they got married in 1960 or something like that. And then he died when I was two years old so it's all just kind of vague memories of my childhood really.",0.0,,
2,FACT,When is your birthday?,"August 17, 1985"," I think it's in February. I'm gonna have to check my calendar, but yeah, probably around the first or second of February.",0.0,,
3,FACT,Who is your mom?,Dierdre Wolownick," I don't know. I mean, she's my mom, but also not really. ",0.0,,
4,FACT,Who is your sister?,Stasia," I don't have a sister. I've never even had a girlfriend, for that matter.",0.0,,
5,FACT,Which language did your mom talk to you in?,French," English. She was like, ""I want you to learn English."" I'm like, ""Okay,"" but then she would also speak French with us when we were kids and my sister and I would have to pretend that we understood what she said.",1.0,,
6,FACT,At what age did you start climbing?,10 years," I think I was about five or six. My mom took me to my first climbing gym when I was maybe seven, and by then I'd already been climbing at recess for school for a couple of years.",0.6666667,,
7,FACT,Where did your dad get a permanent job?,American River College ," He got a job at the State Department. He was an inspector there, basically for construction projects all over the world. So he would go to these exotic places and check out whether or not they were building things properly, you know, like if the cement is dry enough or whatever.",0.4,,
8,FACT,Whose climbing stories did you read growning up?,Mark Twight," Mostly Robbins, but also John Bachar and Erickson. I even read the nonfiction books that they wrote about their climbs--especially Jim: A Life on the Edge and Free Solo.",0.0,,
9,FACT,What makes El Cap so intimidating?,Scale of the wall," The sheer scale of the wall. It's 3,200 feet of sheer granite, with no footholds or hand cracks to get a rope into. There are only two ways to go up: the Regular Northwest Face route on the left and the Freerider path on the right, both of which zigzag upward through various pitches of limestone. The first is rated 5.12d; I'd done it once before in roped climbing fashion but never free soloed it--that is, without a rope or gear at all (though I'd climbed it twice in traditional style).",1.0,,
10,FACT,What is your usual breakfast?,Muesli and fruit," I mean, I don't really have a usual breakfast. You know, it's whatever is in the kitchen at the moment.",0.0,,
11,FACT,Which project were you dreaming of for years?,Moonlight Buttress," The obvious one was the linkup of seven great walls in a single season, starting with El Cap and ending with Mount Kilimanjaro in Tanzania. I'd already climbed both those mountains, but it's such a big deal to climb them back-to-back that you need another really strong reason to do so. For me, that reason was climate change.",0.0,,
12,FACT,What was the favorite hiking destination for you and your dad?,Mount Tallac," I think the one that comes to mind is a place called Rainbow Wall in Utah. It's this amazing, multicolored sandstone formation that kind of resembles an alien landscape. There are these incredible arches and pinnacles and natural bridges all over the place, and it's just so beautiful.",0.0,,
13,FACT,Who convinced The North Face to sponsor you?,Conrad Anker,,0.0,,
