,Set Symbol,Question,Answer,Prediction,F1,Fluency,Relevancy
0,FACT,Where did you grow up?,"Sacramento, California"," St. Paul, Minnesota. St. Paul is a very nice town, but it's also a very white town, and I was the only black kid in my entire elementary school class of 30 kids--which meant that all the other kids were afraid of me. They were like ""Oh no! There's the black kid!"" I had to go to summer camp for three weeks every year because my mom worked at a college in St. Cloud and she had to commute an hour each way every day for two years so that she could make ends meet while she went back to school herself and got her master's degree--and then get her PhD! She works as an assistant professor now at Hamline University in St. Paul where I went to college myself--I'm now 25 years old so it's been about 10 years since I graduated from high school, but yeah so 10 years since then which is crazy because time flies when you're having fun or something like that right?",0.0,,
1,FACT,Who is your dad?,Charles Hannold," I don't know. I mean, I think he's a famous director, but I don't know for sure.",0.0,,
2,FACT,When is your birthday?,"August 17, 1985"," What day of the week is it? What's my sign? What's my star sign?"" I have no idea. I don't know any of that stuff.",0.0,,
3,FACT,Who is your mom?,Dierdre Wolownick," I don't know. I think she's a friend of my dad's. She lives in California, and I've only met her a few times. But she was there when I was born, so that seems like enough for me!",0.0,,
4,FACT,Who is your sister?,Stasia," I have no sister. I don't know why I said that. It's because I feel like, ""I'm a brother."" And then, ""I have a sister."" And then it's like, ""No, no.""",0.0,,
5,FACT,Which language did your mom talk to you in?,French," I think she spoke French to me. Maybe she spoke Spanish to me. I don't know, because I don't remember any of that, but it's possible.",1.0,,
6,FACT,At what age did you start climbing?,10 years," I think I was around five or six. My dad took me to the Red Rocks park in Las Vegas, where there's a huge collection of sandstone cliffs. I remember doing a kind of weird, random free solo up this big sandstone wall. And then we went home and immediately started driving to other places to climb--like Black Velvet Wall in Zion and the North Rim of the Grand Canyon and other places like that--and that's kind of how it all started for me, just going out with my dad all over creation trying to find cliffs for me to climb on.",0.0,,
7,FACT,Where did your dad get a permanent job?,American River College ," Well, he got a permanent job at the U.S. Geological Survey in Menlo Park, California.",0.0,,
8,FACT,Whose climbing stories did you read growning up?,Mark Twight," I don't know, I think it was like-- I mean, obviously it was like the classic stories of the greats. I mean, you know-- but also like more modern stuff. Like free soloing and all that stuff.",0.0,,
9,FACT,What makes El Cap so intimidating?,Scale of the wall," The sheer scale of the wall. The sheer number of pitches. The fact that there are no ropes or fixed gear to catch you if you fall. It's just a big, blank face that seems to go on forever, and it's all out there in the middle of nowhere, in a national park no less--not like Yosemite where ropes and fixed gear are everywhere and people can watch out for each other.",1.0,,
