,Set Symbol,Question,Answer,Prediction,F1,Fluency,Relevancy
0,FACT,Where did you grow up?,"Sacramento, California"," In Sacramento, California. Both my parents taught English as a Second Language (ESL) at a series of institutions in the United States and abroad. Eventually they landed more permanent jobs at American River College in Sacramento. My mom, Dierdre Wolownick, taught ESL and Spanish at the college; she also served for many years on the board of directors. Today she makes her home in Las Vegas, where she's active in local politics and philanthropy.",1.0,,
1,FACT,Who is your dad?,Charles Hannold," I don't know. I mean, like, that's a tough one. Um. My dad died when he was 43 years old, so I think my mom was about 24 when they got married and then had me six years later.",0.0,,
2,FACT,When is your birthday?,"August 17, 1985"," April 21, 1992.",0.0,,
3,FACT,Who is your mom?,Dierdre Wolownick," What is my dad? What happened to me? Am I dead?"" And then, once you get those questions answered, ""What's next?""",0.0,,
4,FACT,Who is your sister?,Stasia, My sister is the person who can't live without me. She's the one I have to give a shit about.,0.0,,
5,FACT,Which language did your mom talk to you in?,French," She only spoke French to my dad. And then they'd speak English to me because I was an American kid. So I didn't really grow up with a lot of French language, you know, exposure or anything like that. But now that I'm older and I live in France, it's kind of nice to be able to talk about certain things with my mom where we're both sort of on the same page.",1.0,,
6,FACT,At what age did you start climbing?,10 years," I think I was about four or five. My parents took me to a climbing gym when I was very young, probably too young to remember. They were like, ""Oh, here's this kid at the climbing gym that's kind of crazy,"" and then eventually they took me to a real rock wall.",0.0,,
7,FACT,Where did your dad get a permanent job?,American River College ," Well, he got a contract with the government to do environmental impact assessment work for the World Bank. So basically what they would have him do is go to these developing countries and evaluate how well various projects were going to affect the environment.",0.4,,
8,FACT,Whose climbing stories did you read growning up?,Mark Twight," Well, I mean, obviously, John Bachar was a huge influence on me. And then later on, when I started writing about climbing myself, you know, the writers that I most admired were Mark Twight and Peter Croft and Lynn Hill. All three of them are now retired or semi-retired but they're all still writing incredible adventure stories. And those are the climbers that I read as a kid and sort of tried to emulate as a young climber.",1.0,,
9,FACT,What makes El Cap so intimidating?,Scale of the wall," ""The sheer scale of the wall,"" says Tommy Caldwell, ""the fact that it's so much higher than you ever thought possible, the complexity of the moves, and that there are no ropes or gear placements to help you. It takes a long time to get used to climbing without rope or gear, but once you do, it's pretty smooth.""",1.0,,
10,FACT,What is your usual breakfast?,Muesli and fruit," I mean, I don't really have a usual breakfast. I mean, I eat everything.",0.0,,
11,FACT,Which project were you dreaming of for years?,Moonlight Buttress," Well, actually, I've sort of had a bunch of them. The one that I think about the most is something called the Long Now Foundation. It's a project to create a kind of permanent base for humanity in space. You know, like an outpost or something on the moon or on Mars or whatever.",0.0,,
12,FACT,What was the favorite hiking destination for you and your dad?,Mount Tallac," Well, I think the favorite for all of us was Yosemite. We would go every year from 2010 to 2014. So, maybe you could say my love affair with hiking started at age seven or eight, when I went on my very first trip to California's Yosemite National Park with my family.",0.0,,
13,FACT,Who convinced The North Face to sponsor you?,Conrad Anker," Was it the climbing team, or did you sell them some product? Or was it just a benevolent sponsorship by the company for your non-climbing friends? I think they were probably convinced by my wife, who is on their marketing team. She's the one that brought me in to meet with their management.",0.0,,
14,FACT,What keeps you motivated?,Insatiable hunger and curiosity," I think it was the quote I used to use all the time when I was like 25 or 26, which is ""I'm never going to be happy if I'm just sitting on a mountain top thinking about it."" Which is kind of funny because now that i'm actually doing it, I feel pretty happy.",0.0,,
15,INF,Tell me about your book Alone on the Wall. It’s split into seven of your most memorable climbs. What are they?,"They’re all just significant events for me. Starting with some of the early free solos that I did and sort of building in complexity as I started big wall soloing using some ropes and hardware, but mostly climbing by myself."," The Regular Northwest Face of Half Dome, the Torre Traverse, the Fitz Traverse, the Huberdihedral Wall in Switzerland, the Piola-Anker in Italy, and finally El Cap. Each one is a classic.",,0.4634414,0.27167365
16,INF,Can you explain the type of climbing you practice? I understand there are no ropes or climbing hardware to keep you safe.,"That’s called free soloing and that is part of what I do, but I mean I’ve been climbing for 20 years and I practice all sorts of climbing. That’s why I wrote the book to sort of show the different types of climbing that do."," I mean, I use a harness and some gear, but that's it. No rope, no hardware. It's all about the technique.",,0.6063113,0.4380489
17,INF,How do you manage that fear?,It’s not like I have to overcome fear in the sense of like suppressing it. If I feel a lot of fear then I can just put something off until I’m better trained. The important thing for me is to differentiate between an appropriate fear – like a fear that I’m in danger – and an irrational fear in my mind. If I’m feeling fear because I’m actually in danger or because there’s a chance that I may fall or chance that I might die then that’s a very helpful warning and I should heed that.”," I mean, you know, I just sort of suppress it, basically. You know, I think about it less and less each time I do it.",,0.5191078,0.4824641
18,INF,This is high stakes climbing. How do you grapple with the worst case scenario – death?,"Obviously, I try to minimize falling or dying through preparation and training. There’s no pressure for me to go soloing so if I’m not feeling totally up for it then I just put it of for later."," I mean, I don't know. I've never thought about it before.",,0.575465,0.13129514
19,INF,I understand you have a certain love affair with the Sierra Nevada. Tell me about that and the climbs you’ve taken there and your history with it.,I grew up in Sacramento and I spent my childhood hiking and camping in the Sierra. The smell of the pine forest there still feels very much like home. Yosemite is in the Sierra Nevada and that’s where I’ve done the majority of my climbing. I think El Capitan is probably the most impressive piece of rock in the world.," I was born in Sacramento, grew up in the Sierra Nevada. My dad worked for the California Department of Forestry, which is kind of a funny way to grow up. He was a climber himself, so we would go climbing all the time. We lived in an old van. I have very vivid memories of going to Red Rocks and other places like that as a kid.",,0.5183761,0.71906805
20,INF,How have you developed the focus required to free solo?,"That’s actually the one aspect of it I don’t need to practice. It’s not that I’m gifted. Free soloing just forces me to focus naturally. It’s a by-product of being on a wall without ropes: You have to perform, so you flip that switch. For me, the preparation lies more in physical training and route planning."," I think it's pretty easy to answer. From the very beginning, my goal has always been to solo climb as efficiently as possible. I've tried to develop techniques that maximize my efficiency, such as using a rope only when absolutely necessary. I also train constantly in order to improve my fitness and minimize the amount of energy I expend while climbing. Basically, I try to do everything right so that I can get more right than wrong during a free solo attempt.",,0.77688515,0.69295454
