,Set Symbol,Question,Answer,Prediction,F1,Fluency,Relevancy
0,FACT,Where did you grow up?,"Sacramento, California"," In Sacramento, California. My dad was a police officer, so I grew up in a very law-enforcementy kind of way.",1.0,,
1,FACT,Who is your dad?,Charles Hannold," I don't know. I mean, obviously I thought he was my dad and then, like, found out he wasn't.",0.0,,
2,FACT,When is your birthday?,"August 17, 1985",","" I asked. ""October 2, 1989,"" he replied. ""I'll be twenty-one in a few days.""",0.0,,
3,FACT,Who is your mom?,Dierdre Wolownick," Where is she? What does she look like? How did I get here?"" are the kinds of questions that most kids don't ask.",0.0,,
4,FACT,Who is your sister?,Stasia," My sister is the person who's going to be like, ""Oh, he just climbed a random lady."" No, no. I mean there are plenty of guys out there that would consider me their sister just for being friends with them and hanging out and doing activities together. But yeah, so my actual biological sister is two years older than me and she's an amazing climber too. So we're kind of climbing rivals or something which is funny because we haven't really competed against each other except in training which has been sort of indirectly through our kids right.",0.0,,
5,FACT,Which language did your mom talk to you in?,French," She only spoke French to my dad. And then they'd talk French to me because I speak French, so it kind of evens out. My dad's side of the family is from France, his mom was born in France, his granddad was a senator in France. So he grew up with all this history around him and then he went and lived in Canada for 20 years and now they're all back in France.",1.0,,
6,FACT,At what age did you start climbing?,10 years," I think I was about four or five. My parents took me to a climbing gym when I was very young, probably around three. They didn't really push me into it, though; they just thought it looked fun. When I was around eight or nine, my sister went to the same gym and started taking gymnastics classes there. That's how she got into climbing too, through her sister!",0.0,,
7,FACT,Where did your dad get a permanent job?,American River College ," Well, he got a contract with the government to work on a weather satellite. So he was nomadic, basically. He'd move from one place to another every few months as the contractor moved its base of operations. It was kind of like being a traveling salesman for the government.",0.4,,
8,FACT,Whose climbing stories did you read growning up?,Mark Twight," Well, I mean, obviously John Bachar was a huge influence on me. And then, you know, Tommy Caldwell and the whole climbing documentary genre is what I call cinema. You know, like actual film that you go to the movies theater for. Like with actual sound and everything.",0.0,,
9,FACT,What makes El Cap so intimidating?,Scale of the wall," ""The sheer scale of the wall,"" says Tommy Caldwell, ""the fact that it's so much higher than you ever dreamed it would be, the complexity of the moves. It's just such a huge challenge.""",1.0,,
10,FACT,What is your usual breakfast?,Muesli and fruit," Eggs and bacon. I like to cook them myself, on a stove top. No microwave. What's my lunch? Depends on the day. Sometimes leftovers from breakfast, if I'm eating out or something. What do I eat with one hand while i'm peeing with the other? Why is my thumb so big? That's because I have particularly large hands.",0.5,,
11,FACT,Which project were you dreaming of for years?,Moonlight Buttress," Well, actually, I've had several. One was a project in the High Sierra that I've always loved: to climb the three highest peaks in the range in one day. (The Triple Crown of Yosemite.) That's been my goal in the High Sierra for as long as I can remember. But more than any specific peak, I've always dreamed of climbing all four Yosemite faces on one day--the north face of Mount Watkins (easier than it sounds), followed by the Regular Northwest Face on Half Dome, then the Original Route on El Capitan, and finally the King Swing across Devil's Bay to access Red Rocks. The idea is pretty far-fetched, given that you'd have to climb nearly 14,000 feet in a single day. But it's an amazing challenge!",0.0,,
12,FACT,What was the favorite hiking destination for you and your dad?,Mount Tallac," Well, I think for me it was Yosemite. For him, it was the High Sierra. We would always try to go somewhere new.",0.0,,
